City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Busselton,AU,-33.65,115.33,59.0,93,5,1.19,clear sky
83,Kindu,CD,-2.95,25.95,71.26,99,100,2.55,light rain
84,Codrington,AU,-38.27,141.97,58.8,64,82,6.33,broken clouds
85,Dubrajpur,IN,23.80,87.38,73.49,65,0,6.67,clear sky
86,Goderich,CA,43.75,-81.72,44.6,65,20,9.22,few clouds
87,Nouadhibou,MR,20.93,-17.03,66.2,77,77,14.97,broken clouds
88,Muromtsevo,RU,56.37,75.24,29.43,81,100,10.31,overcast clouds
89,Salima,MW,-13.78,34.46,68.76,93,33,4.52,light rain
90,Burgeo,CA,47.62,-57.62,44.87,93,100,26.26,overcast clouds
91,Jijiga,ET,9.35,42.80,69.57,47,71,3.36,broken clouds
92,Bredasdorp,ZA,-34.53,20.04,64.4,88,100,6.91,light rain
93,Yanam,IN,16.73,82.22,76.35,96,75,3.13,broken clouds
94,Tompa,HU,46.21,19.54,39.99,64,38,6.98,scattered clouds
95,Makinsk,KZ,52.63,70.42,32.4,91,100,5.26,overcast clouds
96,Brae,GB,60.40,-1.35,26.6,74,75,33.38,light snow
97,Marsa Matruh,EG,31.35,27.25,66.2,37,0,8.05,clear sky
98,Port Alfred,ZA,-33.59,26.89,68.56,81,63,12.55,broken clouds
99,Los Llanos De Aridane,ES,28.66,-17.92,66.2,63,90,1.25,overcast clouds
100,Mahibadhoo,MV,3.78,72.97,83.16,75,1,11.7,clear sky
101,Nampula,MZ,-15.12,39.27,71.6,94,90,8.05,moderate rain
102,Tombouctou,ML,20.00,-3.00,85.78,7,31,5.77,scattered clouds
103,San Cristobal,VE,7.77,-72.22,80.6,78,40,6.91,scattered clouds
104,Ilulissat,GL,69.22,-51.10,19.4,68,75,5.75,broken clouds
105,Dikson,RU,73.51,80.55,5.77,90,99,6.4,overcast clouds
106,Viedma,AR,-40.81,-63.00,81.72,33,1,15.37,clear sky
107,Necochea,AR,-38.55,-58.74,72.0,58,11,7.0,few clouds
108,Cidreira,BR,-30.18,-50.21,72.79,76,6,18.03,clear sky
109,Fougamou,GA,-1.22,10.58,75.54,95,100,1.9,overcast clouds
110,Hithadhoo,MV,-0.60,73.08,83.12,75,72,17.49,broken clouds
111,Tiznit,MA,29.58,-9.50,55.15,81,6,4.34,clear sky
112,Arlit,NE,18.74,7.39,79.57,7,0,8.55,clear sky
113,Praia,CV,14.92,-23.51,77.0,57,0,17.27,clear sky
114,Ashqelon,IL,31.67,34.57,57.99,88,0,3.44,clear sky
115,Kovdor,RU,67.57,30.48,32.86,97,100,7.72,overcast clouds
116,Torbay,CA,47.67,-52.73,39.99,100,90,11.5,light intensity drizzle
117,San Vicente,AR,-26.62,-54.13,71.47,65,100,2.19,overcast clouds
118,Japura,ID,-0.32,102.35,74.55,90,99,2.51,overcast clouds
119,Zajecar,RS,43.90,22.26,39.0,64,16,6.96,few clouds
120,Chipata,ZM,-13.63,32.65,62.6,94,37,4.7,scattered clouds
121,Mizur,RU,42.85,44.05,41.0,75,80,6.71,broken clouds
122,Shupiyan,IN,33.72,74.83,41.56,91,100,1.79,overcast clouds
123,Narsaq,GL,60.92,-46.05,37.4,87,90,3.44,overcast clouds
124,Monrovia,LR,6.30,-10.80,80.6,94,40,7.74,scattered clouds
125,Raudeberg,NO,61.99,5.14,28.99,78,100,23.47,light snow
126,Cauquenes,CL,-35.97,-72.32,67.24,40,0,7.7,clear sky
127,Itarema,BR,-2.92,-39.92,79.03,83,99,11.68,overcast clouds
128,Luderitz,NA,-26.65,15.16,69.87,66,0,15.59,clear sky
129,Chuy,UY,-33.70,-53.46,68.68,85,12,11.83,few clouds
130,Chingirlau,KZ,51.09,54.08,30.07,94,99,7.52,overcast clouds
131,Qaanaaq,GL,77.48,-69.36,-12.51,63,27,6.44,scattered clouds
132,Aligudarz,IR,33.40,49.69,43.21,37,0,2.26,clear sky
133,Muzhi,RU,65.37,64.67,27.45,97,100,5.1,overcast clouds
134,Mana,GF,5.66,-53.78,78.06,85,82,9.1,moderate rain
135,Jacareacanga,BR,-6.22,-57.75,80.49,75,100,2.35,light rain
136,Klaksvik,FO,62.23,-6.59,24.8,58,40,40.29,light snow
137,Karoi,ZW,-16.81,29.69,61.2,81,0,3.22,clear sky
138,Grand Gaube,MU,-20.01,57.66,81.0,75,9,7.0,light rain
139,Bathsheba,BB,13.22,-59.52,80.6,61,20,12.66,few clouds
140,Savannah Bight,HN,16.45,-85.85,79.0,78,90,18.72,overcast clouds
141,Kyrylivka,UA,46.38,35.37,40.59,88,100,7.16,overcast clouds
142,Koulikoro,ML,14.00,-7.75,82.9,8,21,8.5,few clouds
143,Rincon,US,32.30,-81.24,72.0,24,1,5.75,clear sky
144,Odienne,CI,9.51,-7.57,88.68,20,88,2.08,overcast clouds
