City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kedgwick,CA,2021-03-27 02:34:20,47.6446,-67.3434,27.07,95,100,13.87
67,Castro,BR,2021-03-27 02:20:44,-24.7911,-50.0119,65.05,90,55,1.61
68,Kavaratti,IN,2021-03-27 02:22:07,10.5669,72.642,82.87,74,100,2.15
69,Tres Arroyos,AR,2021-03-27 02:34:20,-38.3739,-60.2798,58.68,81,100,13.53
70,Kozhva,RU,2021-03-27 02:34:21,65.1073,57.0459,14.05,95,68,5.97
71,Dindori,IN,2021-03-27 02:34:21,22.95,81.0833,84.36,10,0,2.62
72,Walvis Bay,NA,2021-03-27 02:24:30,-22.9575,14.5053,61.0,94,15,2.3
73,Koslan,RU,2021-03-27 02:34:21,63.4564,48.8989,18.19,98,89,2.77
74,Bougouni,ML,2021-03-27 02:34:22,11.417,-7.479,77.99,15,10,4.83
75,Trelew,AR,2021-03-27 02:30:46,-43.249,-65.3051,58.51,62,55,7.29
76,Carnarvon,AU,2021-03-27 02:25:23,-24.8667,113.6333,82.4,51,95,11.5
77,Sisimiut,GL,2021-03-27 02:34:22,66.9395,-53.6735,-11.88,95,67,10.96
78,Faya,SA,2021-03-27 02:34:22,18.3851,42.4509,60.8,63,0,1.95
79,Turukhansk,RU,2021-03-27 02:21:15,65.8167,87.9833,26.01,96,100,13.89
80,Tera,NE,2021-03-27 02:34:23,14.0078,0.7531,78.6,12,0,14.74
81,Tauberbischofsheim,DE,2021-03-27 02:34:23,49.6247,9.6628,50.0,73,100,5.01
82,Monte Alegre De Minas,BR,2021-03-27 02:34:23,-18.8706,-48.8808,75.2,50,0,2.3
83,Moussoro,TD,2021-03-27 02:34:24,13.6408,16.4901,71.49,19,57,18.48
84,Lucapa,AO,2021-03-27 02:34:24,-8.4192,20.7447,63.61,98,100,2.33
85,Port-Gentil,GA,2021-03-27 02:25:47,-0.7193,8.7815,80.78,75,100,8.86
86,Cidreira,BR,2021-03-27 02:34:24,-30.1811,-50.2056,70.45,91,100,7.96
87,Peniche,PT,2021-03-27 02:34:24,39.3558,-9.3811,53.01,83,98,1.01
88,Kutum,SD,2021-03-27 02:34:25,14.2,24.6667,62.96,20,97,12.82
89,Boda,CF,2021-03-27 02:34:25,4.3189,17.4695,68.09,85,91,1.92
90,Bambous Virieux,MU,2021-03-27 02:30:10,-20.3428,57.7575,75.99,94,20,6.91
91,Kintinku,TZ,2021-03-27 02:34:26,-5.8833,35.2333,64.4,94,75,1.54
92,Arraial Do Cabo,BR,2021-03-27 02:30:26,-22.9661,-42.0278,78.8,78,0,9.22
93,Natal,BR,2021-03-27 02:34:26,-5.795,-35.2094,75.2,88,75,8.05
94,Vila Franca Do Campo,PT,2021-03-27 02:34:26,37.7167,-25.4333,55.4,76,20,2.3
95,Ribeira Brava,PT,2021-03-27 02:34:27,32.65,-17.0667,64.4,88,40,9.22
96,Susanino,RU,2021-03-27 02:34:27,58.1461,41.5872,30.24,98,100,2.82
97,Prieska,ZA,2021-03-27 02:34:27,-29.6641,22.7474,65.34,49,56,7.65
98,Tambovka,RU,2021-03-27 02:34:28,50.0969,128.0489,33.8,100,90,2.24
99,Kirkland Lake,CA,2021-03-27 02:26:28,48.1446,-80.0377,26.6,74,58,5.61
100,Ilulissat,GL,2021-03-27 02:34:28,69.2167,-51.1,-16.6,43,18,2.3
101,Ostersund,SE,2021-03-27 02:34:28,63.1792,14.6357,39.2,81,90,14.97
102,Luderitz,NA,2021-03-27 02:34:29,-26.6481,15.1594,61.12,81,0,9.46
103,Pangnirtung,CA,2021-03-27 02:24:51,66.1451,-65.7125,-23.19,82,10,5.5
